target,original_run,realignn_run,model_type,original_mae,realignn_mae,original_rmse,realignn_rmse,original_p95,realignn_p95,wins,losses,note,mae_delta,mae_relative_improvement_pct,rmse_delta,rmse_relative_improvement_pct,p95_delta,p95_relative_improvement_pct
formation_energy_peratom,fair_compare_dft3d_fe_atomwise_full10,tail-aware ReALIGNN h128 smoothl1,single_model,0.11649905827869952,0.09232327774904843,0.16506371397973565,0.14675699683549798,0.332,0.2851,606.0,394.0,Tail-aware positive/high-positive weighting plus MSE tail penalty.,-0.024175780529651095,20.751910690827746,-0.018306717144237677,11.090697466364494,-0.0469,14.126506024096383
optb88vdw_bandgap,fair_compare_dft3d_optb88vdw_bandgap_atomwise_full10,dft3d_optb88vdw_bandgap_h128_smoothl1_low2_high4_clamp_25epoch_seed123,single_model,0.2680925448912894,0.23485363465209957,0.648721426082606,0.6092061903656885,1.4760695695877075,1.1938729286193848,717.0,283.0,Low-gap and high-gap weighting with nonnegative predictions.,-0.033238910239189845,12.398297107690222,-0.03951523571691751,6.091248743784481,-0.28219664096832275,19.118112505167712
ehull,fair_compare_dft3d_ehull_atomwise_full10_clean,dft3d_ehull_h128_smoothl1_log1p_low6_downhigh_25epoch_seed123,single_model,0.055029896888700025,0.03213012465940938,0.08726453264531829,0.07361303039161504,0.1766277700662613,0.15353077137842774,788.0,212.0,Near-zero stability-focused weighting with log1p transform.,-0.022899772229290648,41.613329342786656,-0.013651502253703249,15.643815236126915,-0.023096998687833548,13.076651921251562
mbj_bandgap,fair_compare_dft3d_mbj_bandgap_atomwise_full10,dft3d_mbj_bandgap_h64_mse_10epoch_same_split,single_model,1.0066468143239617,0.8996886354982853,1.6244999380722742,1.399274100666316,3.3123494386672974,2.945924997329712,496.0,504.0,Same-budget corrected ReALIGNN implementation.,-0.10695817882567649,10.62519418963312,-0.22522583740595814,13.864318005036317,-0.36642444133758545,11.062372739423711
bulk_modulus_kv,fair_compare_dft3d_bulk_modulus_kv_atomwise_full10,dft3d_bulk_modulus_kv_h128_smoothl1_low08_high2_clamp_25epoch_seed123,single_model,14.717642758965493,14.50571452152729,24.145935741548836,24.541144501391713,53.33652877807617,46.439491271972656,515.0,485.0,Best strict single model: MAE/P95 improved; RMSE not improved.,-0.21192823743820277,1.4399604672365296,0.39520875984287684,-1.6367506485276775,-6.897037506103516,12.931170558175738
bulk_modulus_kv,fair_compare_dft3d_bulk_modulus_kv_atomwise_full10,dft3d_bulk_modulus_kv_val_selected_ensemble,validation_selected_ensemble,14.717642758965493,14.32745558531286,24.145935741548836,23.80815534088409,53.33652877807617,44.968659973144526,,,Validation-selected ensemble; listed separately from strict single-model result.,-0.3901871736526328,2.6511526339022184,-0.337780400664748,1.3989120333966447,-8.367868804931646,15.688814020404033
